,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
2496,2301590,No,0.0,60,E1,38.3,38.3,0.0,No,No,Male,Direct,4,ERS,Chennai,27,Not Joined
2498,2301629,No,1.0,30,E2,52.0,52.0,0.0,No,No,Male,Direct,3,INFRA,Bangalore,26,Joined
2499,2301647,No,21.189619305179946,30,E1,52.78,52.78,0.0,No,No,Female,Employee Referral,2,CORP,Noida,26,Joined
2500,2301648,Yes,46.0,30,E2,44.33,44.33,0.0,No,No,Male,Direct,4,INFRA,Bangalore,28,Joined
2501,2301649,No,2.0,30,E1,21.95,0.0,-18.0,No,No,Male,Employee Referral,4,INFRA,Noida,30,Joined
2503,2301661,Yes,13.0,30,E1,25.0,25.0,0.0,No,No,Male,Direct,3,ETS,Noida,30,Joined
2504,2301662,Yes,1.0,30,E1,76.21,76.21,0.0,No,No,Male,Direct,3,ETS,Chennai,29,Joined
2505,2301665,Yes,13.0,30,E1,33.33,33.33,0.0,No,No,Male,Direct,2,ETS,Chennai,28,Joined
2506,2301666,No,0.0,30,E1,31.25,31.25,0.0,No,No,Male,Direct,3,ETS,Noida,29,Joined
2507,2301673,Yes,5.0,90,E2,30.0,20.0,-7.69,No,No,Male,Direct,6,BFSI,Bangalore,30,Not Joined
2509,2301697,No,0.0,60,E2,27.5,28.13,0.49,No,No,Male,Direct,5,INFRA,Noida,29,Joined
2510,2301704,No,9.0,30,E1,33.77,33.77,0.0,No,No,Male,Direct,2,INFRA,Noida,26,Joined
2512,2302197,Yes,8.0,30,E1,25.0,38.89,11.11,No,No,Male,Direct,1,INFRA,Noida,24,Joined
2513,2302209,Yes,25.0,60,E2,17.65,5.88,-10.0,No,No,Male,Direct,6,ERS,Chennai,28,Not Joined
2514,2302211,No,3.0,30,E1,31.87,37.36,4.17,No,No,Male,Direct,1,INFRA,Noida,24,Joined
2515,2302225,No,21.189619305179946,60,E2,41.18,32.35,-6.25,No,No,Male,Direct,4,INFRA,Chennai,29,Not Joined
2516,2302319,Yes,0.0,90,E1,50.75,31.91,-12.5,No,No,Female,Direct,3,ERS,Chennai,26,Joined
2517,2302377,Yes,14.0,60,E2,70.73,46.34,-14.29,No,No,Male,Direct,7,ERS,Bangalore,35,Joined
2518,2302438,No,16.0,30,E1,69.23,42.31,-15.91,No,No,Male,Direct,1,INFRA,Mumbai,25,Joined
2523,2302550,Yes,21.189619305179946,30,E1,34.62,34.62,0.0,No,No,Male,Direct,4,ETS,Bangalore,28,Not Joined
2524,2303698,Yes,6.0,30,E1,2.98,2.98,0.0,No,No,Male,Direct,4,INFRA,Chennai,27,Not Joined
2525,2309566,No,21.189619305179946,60,E3,23.08,22.31,-0.63,No,No,Male,Direct,5,INFRA,Noida,37,Not Joined
2526,2309606,No,5.0,30,E1,44.44,44.44,0.0,No,No,Male,Direct,4,ETS,Bangalore,31,Not Joined
2528,2309663,No,21.189619305179946,30,E1,61.29,67.74,4.0,No,No,Male,Direct,3,ETS,Noida,26,Not Joined
2529,2309674,No,21.189619305179946,45,E2,13.04,8.7,-3.85,No,No,Male,Direct,10,CSMP,Gurgaon,34,Joined
2530,2309682,Yes,6.0,60,E1,25.84,19.97,-4.67,No,No,Male,Direct,4,BFSI,Bangalore,29,Joined
2531,2309686,Yes,21.189619305179946,60,E2,64.71,52.71,-7.29,No,No,Male,Direct,9,CSMP,Gurgaon,38,Joined
2533,2309688,Yes,4.0,90,E2,10.0,10.0,0.0,No,No,Male,Direct,9,EAS,Bangalore,33,Joined
2536,2309711,Yes,0.0,30,E2,45.83,35.42,-7.14,No,No,Male,Direct,7,CSMP,Noida,33,Joined
2537,2309714,No,1.0,30,E1,38.89,33.33,-4.0,No,No,Male,Direct,2,INFRA,Gurgaon,24,Joined
2538,2309733,No,21.189619305179946,30,E1,44.0,44.0,0.0,No,No,Male,Direct,1,INFRA,Noida,26,Not Joined
2539,2309739,No,0.0,30,E2,44.74,44.74,0.0,No,No,Male,Direct,8,INFRA,Noida,28,Joined
2540,2309761,Yes,20.0,30,E2,55.56,44.44,-7.14,No,No,Female,Direct,6,BFSI,Gurgaon,36,Not Joined
2543,2309805,Yes,1.0,30,E1,27.91,27.91,0.0,No,No,Male,Direct,3,ETS,Bangalore,30,Joined
2544,2309808,No,0.0,30,E2,66.67,66.67,0.0,No,No,Male,Agency,4,INFRA,Chennai,30,Joined
2546,2309843,No,10.0,30,E2,71.43,62.86,-5.0,No,No,Male,Employee Referral,3,INFRA,Noida,29,Joined
2548,2309851,Yes,18.0,30,E1,38.89,38.89,0.0,No,No,Male,Direct,3,ETS,Bangalore,26,Joined
2549,2309853,Yes,36.0,30,E2,24.62,24.62,0.0,No,No,Male,Direct,3,INFRA,Chennai,27,Joined
2550,2309856,No,7.0,30,E1,35.9,35.9,0.0,No,No,Male,Direct,3,ETS,Bangalore,26,Joined
2552,2309891,No,4.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,0,INFRA,Chennai,22,Not Joined
2553,2309892,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Chennai,23,Joined
2554,2309893,No,4.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,0,INFRA,Chennai,23,Not Joined
2555,2309894,No,5.0,30,E0,42.86,42.86,0.0,No,No,Male,Direct,0,INFRA,Chennai,23,Joined
2556,2309895,No,5.0,30,E0,42.86,42.86,0.0,No,No,Male,Direct,0,INFRA,Chennai,26,Joined
2557,2309896,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Chennai,23,Joined
2558,2309904,No,21.189619305179946,60,E1,69.01,47.89,-12.5,No,No,Female,Direct,3,ERS,Chennai,26,Not Joined
2559,2309914,Yes,27.0,30,E1,20.0,20.0,0.0,No,No,Male,Direct,4,ETS,Bangalore,26,Joined
2560,2309985,Yes,6.0,30,E1,24.07,24.07,0.0,No,No,Female,Agency,4,EAS,Chennai,31,Joined
2561,2310382,No,2.0,30,E2,36.36,40.91,3.33,No,No,Male,Agency,6,ERS,Bangalore,31,Joined
2565,2314265,No,1.0,30,E1,34.75,45.39,7.89,No,No,Male,Direct,2,CSMP,Noida,26,Joined
2566,2314523,No,1.0,30,E3,2.15,0.0,-2.11,No,No,Male,Direct,1,INFRA,Chennai,38,Joined
2567,2318368,Yes,17.0,30,E1,44.44,24.44,-13.85,No,No,Male,Agency,4,ERS,Noida,33,Joined
2568,2318388,Yes,1.0,30,E1,50.0,22.0,-18.67,No,No,Male,Agency,4,ERS,Noida,27,Not Joined
2570,2322664,No,3.0,60,E2,37.5,37.5,0.0,No,No,Male,Direct,4,INFRA,Chennai,27,Joined
2571,2322668,No,0.0,30,E2,-8.23,-8.23,0.0,No,No,Male,Direct,8,AXON,Noida,31,Joined
2572,2322698,Yes,1.0,30,E1,52.78,33.33,-12.73,No,No,Male,Agency,3,ERS,Chennai,27,Joined
2573,2322706,Yes,19.0,60,E2,62.79,45.35,-10.71,No,No,Male,Direct,7,ERS,Chennai,30,Not Joined
2575,2322708,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Chennai,23,Joined
2576,2322709,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Direct,0,INFRA,Bangalore,23,Not Joined
2577,2322710,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Direct,0,INFRA,Bangalore,24,Not Joined
2578,2322711,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Direct,0,INFRA,Bangalore,23,Not Joined
2579,2322712,No,5.0,30,E0,42.86,42.86,0.0,No,No,Male,Direct,0,INFRA,Bangalore,23,Joined
2580,2322713,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Direct,0,INFRA,Bangalore,23,Not Joined
2581,2322714,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,23,Joined
2582,2322715,No,5.0,30,E0,42.86,42.86,0.0,No,No,Male,Direct,0,INFRA,Bangalore,23,Joined
2583,2322716,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,0,INFRA,Bangalore,23,Not Joined
2584,2322717,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,23,Joined
2585,2322718,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,23,Joined
2586,2322719,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,0,INFRA,Bangalore,24,Not Joined
2587,2322720,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,22,Joined
2588,2322721,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,23,Joined
2589,2322722,No,5.0,30,E0,42.86,42.86,0.0,No,No,Male,Direct,0,INFRA,Bangalore,23,Joined
2590,2322723,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,23,Joined
2591,2322724,No,5.0,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Bangalore,24,Joined
2592,2322725,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,0,INFRA,Bangalore,22,Not Joined
2593,2322726,No,3.0,30,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,0,INFRA,Bangalore,23,Not Joined
2594,2322733,Yes,1.0,60,E2,20.0,37.77201584732044,-2.0789156941299427,No,No,Male,Direct,4,INFRA,Chennai,26,Not Joined
2597,2322777,No,2.0,30,E2,41.83766269635767,42.86,-2.0789156941299427,No,No,Female,Direct,3,INFRA,Bangalore,26,Not Joined
2599,2322835,No,6.0,30,E1,30.0,25.0,-3.85,No,No,Female,Agency,5,ERS,Chennai,33,Joined
2600,2322839,Yes,2.0,30,E1,44.44,33.33,-7.69,No,No,Male,Direct,3,ETS,Bangalore,26,Not Joined
2603,2322844,Yes,26.0,30,E1,19.05,19.05,0.0,No,No,Male,Direct,3,ETS,Noida,27,Joined
2609,2322901,No,21.189619305179946,60,E1,22.22,0.0,-18.18,No,No,Male,Agency,3,ERS,Noida,29,Not Joined
2612,2322908,No,0.0,30,E1,56.25,50.0,-4.0,No,No,Male,Agency,5,ERS,Chennai,32,Not Joined
2613,2322933,No,1.0,60,E1,66.67,50.0,-10.0,No,No,Male,Direct,3,ERS,Chennai,26,Joined
2615,2323037,Yes,2.0,30,E1,7.69,7.69,0.0,No,No,Female,Direct,4,BFSI,Chennai,26,Joined
2617,2323061,No,2.0,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,3,ERS,Chennai,31,Not Joined
2619,2323102,No,21.189619305179946,60,E2,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Direct,5,INFRA,Noida,29,Not Joined
2620,2323104,No,21.189619305179946,60,E1,59.57,32.98,-16.67,No,No,Male,Direct,4,EAS,Chennai,26,Not Joined
2621,2323115,Yes,20.0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,INFRA,Bangalore,28,Joined
2622,2323127,No,38.0,90,E1,20.37,20.37,0.0,No,No,Male,Agency,5,BFSI,Bangalore,32,Joined
2623,2323202,Yes,39.0,30,E2,21.14,21.14,0.0,No,No,Male,Direct,5,INFRA,Noida,31,Not Joined
2624,2323213,Yes,12.0,60,E1,45.63,28.16,-12.0,No,No,Male,Agency,4,ERS,Chennai,27,Not Joined
2625,2323216,No,4.0,90,E2,32.53,34.94,1.82,No,No,Male,Direct,7,EAS,Chennai,30,Not Joined
2628,2323295,No,21.189619305179946,30,E2,30.0,30.0,0.0,No,No,Male,Agency,6,EAS,Noida,28,Not Joined
2629,2323320,No,0.0,60,E2,35.84,32.07,-2.78,No,No,Male,Direct,4,INFRA,Noida,25,Joined
2631,2323353,No,3.0,30,E1,67.79,67.79,0.0,No,No,Male,Direct,3,CSMP,Noida,24,Not Joined
2633,2323406,Yes,6.0,30,E1,79.49,58.97,-11.43,No,No,Male,Direct,3,CSMP,Noida,26,Joined
2634,2323420,Yes,1.0,60,E2,26.98,23.81,-2.5,No,No,Male,Direct,6,INFRA,Noida,28,Joined
2635,2323426,Yes,7.0,90,E1,9.09,-4.55,-12.5,No,No,Male,Agency,3,ERS,Noida,31,Joined
2636,2325910,Yes,3.0,30,E2,15.38,17.95,2.22,No,No,Male,Agency,6,ERS,Chennai,30,Joined
2638,2326125,Yes,7.0,30,E1,22.22,22.22,0.0,No,No,Male,Direct,2,INFRA,Chennai,25,Joined
2639,2326727,No,0.0,60,E1,22.22,16.67,-4.55,No,No,Female,Agency,3,ERS,Chennai,28,Joined
2640,2327989,Yes,31.0,30,E1,28.05,28.05,0.0,No,No,Female,Agency,3,ERS,Chennai,25,Joined
2641,2328076,No,2.0,30,E1,45.45,29.55,-10.94,No,No,Male,Direct,1,ERS,Bangalore,26,Joined
2642,2328085,No,0.0,0,E2,-10.19,-10.19,0.0,Yes,No,Male,Direct,3,INFRA,Bangalore,31,Not Joined
2643,2328115,No,21.189619305179946,60,E2,31.51,31.51,0.0,No,No,Male,Agency,8,INFRA,Chennai,30,Not Joined
2644,2328118,No,1.0,30,E2,46.0,46.0,0.0,No,No,Male,Direct,5,INFRA,Noida,35,Joined
2645,2328121,No,1.0,30,E3,36.36,36.36,0.0,No,No,Male,Direct,7,INFRA,Noida,30,Joined
2646,2328145,Yes,3.0,30,E2,25.0,18.33,-5.33,No,No,Male,Direct,7,AXON,Bangalore,31,Joined
2647,2328164,Yes,21.189619305179946,30,E1,55.41,41.89,-8.7,No,No,Male,Direct,3,ERS,Chennai,27,Not Joined
2648,2328172,No,3.0,30,E1,14.11,14.11,0.0,No,No,Female,Direct,2,INFRA,Chennai,24,Joined
2649,2328181,No,3.0,60,E2,50.0,36.67,-8.89,No,No,Male,Direct,2,INFRA,Mumbai,26,Joined
2650,2328182,Yes,2.0,30,E2,8.11,8.11,0.0,No,No,Male,Direct,9,ETS,Noida,35,Joined
2652,2328204,Yes,12.0,30,E1,25.0,25.0,0.0,No,No,Male,Direct,3,ERS,Chennai,27,Joined
2653,2328226,No,21.189619305179946,60,E1,52.28,52.28,0.0,No,No,Male,Direct,4,ETS,Chennai,29,Not Joined
2656,2328251,No,7.0,60,E1,64.27,49.08,-9.25,No,No,Male,Direct,5,ERS,Chennai,28,Not Joined
2657,2328276,No,3.0,30,E3,34.45,34.45,0.0,No,No,Male,Direct,9,ETS,Chennai,36,Joined
2658,2328282,Yes,3.0,30,E1,43.27,43.27,0.0,No,No,Female,Direct,2,ETS,Bangalore,25,Joined
2659,2328283,No,4.0,45,E1,53.06,42.86,-6.67,No,No,Male,Direct,3,ERS,Chennai,25,Joined
2661,2328309,Yes,37.0,30,E3,30.0,30.0,0.0,No,No,Male,Agency,7,INFRA,Hyderabad,34,Joined
2662,2328311,Yes,56.0,60,E2,31.25,28.13,-2.38,No,No,Male,Direct,6,AXON,Bangalore,33,Joined
2663,2328315,No,2.0,60,E2,29.41,23.53,-4.55,No,No,Male,Direct,6,ERS,Chennai,34,Not Joined
2665,2328333,No,21.189619305179946,60,E1,52.91,29.97,-15.0,No,No,Female,Agency,3,ERS,Chennai,25,Not Joined
2668,2328418,Yes,35.0,30,E1,40.85,26.76,-10.0,No,No,Male,Direct,1,INFRA,Chennai,24,Joined
2669,2328432,Yes,1.0,30,E1,39.16,39.16,0.0,No,No,Male,Direct,2,INFRA,Noida,24,Joined
2670,2328438,No,2.0,60,E1,33.33,16.67,-12.5,No,No,Female,Direct,3,ERS,Chennai,24,Not Joined
2671,2328445,Yes,28.0,30,E1,56.25,30.21,-16.67,No,No,Male,Direct,1,AXON,Chennai,31,Joined
2672,2328458,Yes,0.0,30,E1,17.86,7.14,-9.09,No,No,Female,Direct,1,INFRA,Noida,24,Joined
2673,2328460,No,1.0,30,E1,24.0,24.0,0.0,No,No,Male,Direct,1,INFRA,Noida,24,Joined
2674,2328468,Yes,9.0,30,E1,86.92,63.55,-12.5,No,No,Female,Direct,3,ERS,Chennai,26,Not Joined
2675,2328504,Yes,21.189619305179946,30,E2,44.44,33.33,-7.69,No,No,Female,Direct,7,CORP,Noida,29,Joined
2679,2328635,No,1.0,30,E1,43.05,43.05,0.0,No,No,Male,Direct,2,INFRA,Chennai,27,Joined
2680,2328686,Yes,28.0,90,E2,46.67,46.67,0.0,No,No,Male,Direct,7,EAS,Noida,31,Joined
2681,2330428,No,0.0,30,E1,31.58,30.0,-1.2,No,No,Male,Direct,4,ERS,Chennai,28,Joined
2682,2330467,No,21.189619305179946,60,E1,46.67,28.0,-12.73,No,No,Male,Direct,3,ERS,Chennai,26,Not Joined
2684,2340930,Yes,3.0,45,E2,42.86,42.86,0.0,No,No,Male,Direct,9,EAS,Hyderabad,37,Joined
2685,2340943,Yes,23.0,60,E3,30.0,15.0,-11.54,No,No,Male,Direct,6,INFRA,Noida,33,Not Joined
2686,2340950,Yes,25.0,30,E2,35.14,35.14,0.0,No,No,Male,Direct,8,BFSI,Bangalore,31,Not Joined
2687,2340999,Yes,11.0,30,E2,16.36,0.0,-14.06,No,No,Female,Agency,9,ERS,Bangalore,36,Joined
2690,2341079,No,0.0,30,E3,23.08,23.08,0.0,No,No,Male,Direct,9,ETS,Bangalore,35,Joined
2691,2341092,Yes,34.0,30,E1,25.0,25.0,0.0,No,No,Male,Agency,4,CSMP,Noida,26,Joined
2693,2341169,No,2.0,60,E1,38.16,31.58,-4.76,No,No,Male,Direct,3,ERS,Chennai,29,Joined
2694,2341181,No,6.0,30,E1,45.77,45.77,0.0,No,No,Male,Agency,3,ERS,Chennai,25,Joined
2697,2341196,Yes,19.0,30,E1,11.11,22.22,10.0,No,No,Male,Direct,3,INFRA,Chennai,26,Joined
2699,2341198,No,2.0,30,E1,53.85,66.15,8.0,No,No,Female,Direct,1,INFRA,Chennai,25,Joined
2700,2341206,No,21.189619305179946,30,E1,33.93,27.23,-5.0,No,No,Male,Direct,4,CORP,Noida,29,Joined
2701,2341226,No,1.0,30,E1,18.18,18.18,0.0,No,No,Male,Direct,4,ETS,Chennai,31,Joined
2702,2341246,No,0.0,60,E3,14.29,19.29,4.38,No,No,Male,Agency,9,INFRA,Noida,39,Not Joined
2703,2341250,Yes,49.0,60,E2,33.33,28.0,-4.0,No,No,Male,Direct,6,AXON,Bangalore,38,Joined
2704,2341260,Yes,24.0,60,E3,33.33,33.33,0.0,No,No,Female,Agency,10,ERS,Noida,34,Joined
2706,2341282,No,31.0,60,E2,33.33,33.33,0.0,No,No,Female,Agency,6,ERS,Noida,34,Joined
2707,2341304,Yes,1.0,30,E1,25.0,25.0,0.0,No,No,Male,Direct,4,EAS,Chennai,27,Joined
2710,2341343,Yes,5.0,60,E2,60.0,60.0,0.0,No,No,Male,Direct,9,ERS,Bangalore,33,Joined
2712,2341365,No,21.189619305179946,30,E1,44.63,44.63,0.0,No,No,Male,Direct,3,BFSI,Mumbai,28,Not Joined
2714,2341377,No,44.0,60,E2,28.57,20.0,-6.67,No,No,Male,Agency,6,ERS,Noida,36,Joined
2715,2341380,No,49.0,60,E1,51.16,51.16,0.0,No,No,Male,Direct,2,ERS,Chennai,26,Not Joined
2716,2341385,Yes,55.0,60,E2,22.73,15.45,-5.93,No,No,Male,Direct,7,CSMP,Noida,38,Joined
2718,2341397,No,21.189619305179946,45,E1,75.0,50.0,-14.29,No,No,Male,Agency,4,BFSI,Bangalore,27,Not Joined
2719,2341463,No,2.0,30,E1,25.0,25.0,0.0,No,No,Male,Direct,4,ETS,Chennai,28,Joined
2721,2341540,No,34.0,30,E1,19.57,19.57,0.0,No,No,Male,Agency,3,BFSI,Bangalore,30,Joined
2723,2341573,No,45.0,45,E1,44.58,44.58,0.0,No,No,Male,Direct,3,BFSI,Mumbai,27,Joined
2725,2341594,Yes,29.0,30,E1,38.89,45.83,5.0,No,No,Male,Direct,3,ERS,Chennai,26,Joined
2726,2341609,No,0.0,90,E1,62.5,37.5,-15.38,No,No,Female,Direct,3,ERS,Chennai,25,Joined
2727,2341882,No,5.0,30,E2,33.33,47.22,10.42,No,No,Male,Agency,8,ERS,Bangalore,30,Joined
2728,2344320,Yes,4.0,30,E1,52.78,45.83,-4.55,No,No,Male,Agency,3,ERS,Noida,26,Joined
2730,2344393,No,4.0,30,E1,42.86,22.45,-14.29,No,No,Male,Direct,2,ERS,Bangalore,27,Joined
2731,2344417,No,1.0,60,E1,62.5,62.5,0.0,No,No,Male,Direct,3,ETS,Bangalore,27,Joined
2733,2344493,Yes,5.0,0,E2,16.67,16.67,0.0,Yes,No,Male,Employee Referral,7,ERS,Bangalore,32,Joined
2735,2344500,No,33.0,30,E1,54.76,30.95,-15.38,No,No,Male,Agency,5,ERS,Chennai,28,Not Joined
2736,2344524,No,1.0,30,E2,16.67,16.67,0.0,No,No,Male,Direct,4,INFRA,Hyderabad,32,Not Joined
2737,2344526,Yes,17.0,30,E1,42.86,21.43,-15.0,No,No,Male,Agency,3,ERS,Chennai,28,Joined
2738,2344555,No,22.0,30,E1,28.57,25.0,-2.78,No,No,Male,Agency,2,ERS,Chennai,26,Joined
2739,2344561,No,50.0,30,E1,35.0,43.75,6.48,No,No,Male,Agency,3,ERS,Chennai,26,Joined
2740,2344564,Yes,38.0,45,E2,44.93,44.93,0.0,No,No,Male,Agency,6,EAS,Noida,31,Joined
2741,2344571,No,37.0,60,E1,75.0,62.5,-7.14,No,No,Male,Agency,4,ERS,Chennai,25,Not Joined
2743,2344626,No,0.0,90,E1,34.48,25.17,-6.92,No,No,Male,Direct,6,ERS,Chennai,32,Joined
2744,2344637,Yes,12.0,60,E2,16.0,20.0,3.45,No,No,Male,Direct,8,ERS,Chennai,32,Not Joined
2745,2344675,No,13.0,30,E2,29.73,29.73,0.0,No,No,Male,Direct,10,ERS,Bangalore,33,Joined
2746,2344696,Yes,15.0,30,E2,15.38,15.38,0.0,No,No,Male,Direct,5,INFRA,Noida,30,Joined
2747,2344720,Yes,18.0,30,E1,63.64,63.64,0.0,No,No,Male,Direct,1,INFRA,Chennai,25,Joined
2748,2344721,No,1.0,60,E1,53.85,41.54,-8.0,No,No,Male,Agency,6,CSMP,Chennai,31,Joined
2749,2344735,Yes,0.0,90,E3,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Agency,10,INFRA,Bangalore,43,Not Joined
2751,2344790,No,0.0,30,E1,28.57,25.0,-2.78,No,No,Male,Agency,3,ERS,Chennai,30,Joined
2752,2344801,Yes,2.0,30,E1,25.0,16.25,-7.0,No,No,Female,Direct,3,ERS,Chennai,27,Joined
2753,2344807,No,50.0,30,E1,41.83766269635767,15.94,-2.0789156941299427,No,No,Male,Direct,4,BFSI,Chennai,28,Not Joined
2754,2344809,Yes,45.0,30,E1,38.89,18.06,-15.0,No,No,Male,Direct,4,BFSI,Bangalore,28,Joined
2755,2344843,No,1.0,90,E1,67.36,49.58,-10.63,No,No,Male,Agency,4,BFSI,Gurgaon,27,Not Joined
2756,2344851,No,21.189619305179946,90,E1,38.1,37.77201584732044,-2.0789156941299427,No,No,Male,Agency,4,Healthcare,Noida,28,Not Joined
2757,2344859,Yes,21.189619305179946,30,E1,46.79,31.19,-10.63,No,No,Male,Agency,4,BFSI,Gurgaon,28,Not Joined
2759,2344890,No,1.0,30,E2,64.46,60.7,-2.29,No,No,Male,Direct,5,INFRA,Noida,33,Joined
2761,2344926,No,21.189619305179946,30,E1,20.0,20.0,0.0,No,No,Male,Direct,5,INFRA,Noida,30,Joined
2763,2344951,No,20.0,60,E2,41.83766269635767,27.06,-2.0789156941299427,No,No,Male,Agency,6,BFSI,Bangalore,30,Not Joined
2767,2345013,No,21.189619305179946,30,E1,54.24,49.1,-3.33,No,No,Male,Direct,3,CSMP,Noida,25,Not Joined
2768,2345021,No,6.0,90,E2,29.87,37.77201584732044,-2.0789156941299427,No,No,Male,Agency,6,ERS,Bangalore,28,Not Joined
2769,2345025,No,2.0,60,E1,46.67,37.77201584732044,-2.0789156941299427,No,No,Male,Agency,3,Healthcare,Chennai,28,Not Joined
2771,2345033,No,1.0,90,E2,60.0,60.0,0.0,No,No,Male,Direct,6,ERS,Bangalore,31,Joined
2772,2345064,No,21.189619305179946,60,E1,21.5,21.5,0.0,No,No,Male,Direct,3,BFSI,Bangalore,30,Not Joined
2775,2345184,No,1.0,60,E2,44.44,38.89,-3.85,No,No,Male,Direct,6,INFRA,Chennai,31,Joined
2776,2345202,No,21.189619305179946,30,E1,41.83766269635767,42.36,-2.0789156941299427,No,No,Male,Direct,6,ETS,Bangalore,30,Not Joined
2777,2345246,Yes,1.0,30,E2,49.33,49.33,0.0,No,No,Female,Employee Referral,7,BFSI,Mumbai,29,Joined
2778,2345361,No,37.0,30,E3,36.29,36.29,0.0,No,No,Male,Direct,5,INFRA,Chennai,29,Joined
2779,2347597,Yes,21.189619305179946,60,E2,13.33,6.67,-5.88,No,No,Male,Direct,8,CORP,Noida,35,Joined
2780,2347639,No,0.0,30,E2,36.36,27.27,-6.67,No,No,Male,Direct,4,INFRA,Noida,31,Joined
2781,2347665,No,1.0,30,E2,37.5,30.0,-5.45,No,No,Male,Direct,4,INFRA,Noida,31,Joined
2782,2347682,No,3.0,60,E1,53.85,45.05,-5.71,No,No,Female,Direct,4,ERS,Chennai,28,Not Joined
2784,2347709,No,14.0,30,E2,32.35,32.35,0.0,No,No,Female,Direct,5,ERS,Chennai,29,Joined
2785,2347714,No,53.0,60,E3,35.0,30.0,-3.7,No,No,Female,Employee Referral,7,INFRA,Noida,31,Joined
2787,2347804,No,21.189619305179946,60,E1,63.49,38.96,-15.0,No,No,Male,Direct,3,BFSI,Chennai,25,Not Joined
2789,2347820,No,0.0,90,E2,27.27,18.18,-7.14,No,No,Male,Direct,6,AXON,Noida,29,Joined
2790,2347823,Yes,18.0,60,E1,29.64,29.64,0.0,No,No,Male,Agency,5,ERS,Chennai,28,Joined
2791,2347830,No,4.0,30,E2,30.77,22.47,-6.34,No,No,Male,Direct,6,INFRA,Noida,32,Not Joined
2793,2347857,No,21.189619305179946,30,E1,66.67,57.41,-5.56,No,No,Male,Agency,6,ERS,Bangalore,34,Not Joined
2795,2347871,No,1.0,60,E1,37.5,37.77201584732044,-2.0789156941299427,No,No,Male,Agency,3,BFSI,Bangalore,29,Not Joined
2797,2347883,Yes,32.0,30,E1,39.29,39.29,0.0,No,No,Male,Direct,2,ERS,Chennai,25,Joined
2798,2347905,No,31.0,60,E2,42.86,42.86,0.0,No,No,Male,Direct,4,INFRA,Chennai,27,Joined
2799,2347907,No,21.189619305179946,30,E1,40.43,37.77201584732044,-2.0789156941299427,No,No,Female,Direct,4,CSMP,Noida,27,Not Joined
2801,2347926,Yes,27.0,90,E1,86.05,62.79,-12.5,No,No,Male,Employee Referral,5,ERS,Chennai,28,Joined
2802,2347958,No,6.0,0,E1,79.17,56.25,-12.79,No,No,Male,Direct,2,ERS,Bangalore,24,Not Joined
2805,2347978,No,1.0,30,E1,50.0,21.88,-18.75,No,No,Male,Direct,2,ERS,Chennai,24,Joined
2806,2347983,Yes,54.0,60,E2,50.94,41.51,-6.25,No,No,Female,Direct,6,ERS,Chennai,29,Joined
2807,2347985,No,5.0,90,E2,15.38,11.54,-3.33,No,No,Male,Agency,8,ERS,Bangalore,31,Joined
2808,2347996,No,21.189619305179946,60,E2,10.43,16.56,5.56,No,No,Male,Direct,6,ERS,Chennai,30,Not Joined
2810,2348023,Yes,54.0,60,E1,18.18,18.18,0.0,No,No,Female,Direct,3,AXON,Noida,29,Not Joined
